252621561,-3.075205,0.50774413,7.38624
252621571,-3.145858,0.4670288,7.36708
252621670,-3.2787817,0.71850586,7.261699
252621680,-3.4967284,0.429906,7.2221813
252621689,-3.5075061,0.2562671,7.249724
252621699,-3.307522,0.21674927,7.350315
252621709,-3.2033386,0.16645385,7.35271
252621719,-3.109933,0.2838098,7.267687
252621729,-3.0859826,0.432301,7.303612
252621739,-3.0991552,0.70772827,7.33834
252621749,-3.145858,1.1076965,7.2365513
252621758,-3.253634,1.3998889,7.141948
252621768,-3.2847693,1.3292358,7.08327
252621778,-3.2715967,0.91010743,7.094048
252621788,-3.2356713,0.5939648,7.2796617
252621798,-3.150648,0.49337402,7.413783
252621808,-2.9183314,0.7113208,7.3575
252621818,-3.006947,1.0621911,7.36229
252621828,-3.1063404,1.3867164,7.3610926
252621837,-3.305127,1.3519886,7.296427
252621847,-3.3446448,1.1304492,7.141948
252621857,-3.3206947,0.87657714,7.249724
252621867,-3.0931678,0.8083191,7.3000197
252621877,-2.8404932,1.035846,7.276069
252621887,-2.7985804,1.3208532,7.140751
252621897,-2.8369007,1.5028747,7.012617
252621906,-3.051255,1.3759388,6.8246083
252621916,-3.1698084,1.2957056,6.8186207
252621926,-3.1650183,1.23104,6.827003
252621936,-3.0476623,1.3388159,6.734795
252621946,-2.8512707,1.4597644,6.524033
252621956,-3.0213172,1.5723304,6.3515916
252621966,-3.1745985,1.4298266,6.3180614
252621975,-3.109933,1.0621911,6.2593837
252621985,-3.109933,0.37242553,6.397097
252621995,-2.9303064,-0.0371228,6.749165
252622005,-2.6249413,-0.21315674,7.0162096
252622015,-2.3099964,-0.10059082,7.2173915
252622025,-2.2848487,-0.04670288,7.322772
252622035,-2.46208,0.15447876,7.0162096
252622044,-2.6033862,0.60234743,6.873706
252622054,-2.7231371,0.9687854,6.9455566
252622064,-2.818938,1.1508069,6.5360084
252622074,-3.1159203,1.3783337,6.2977037
252622084,-3.1470556,1.6573535,6.2150755
252622094,-3.2045362,1.6310083,6.018684
252622104,-3.3530273,1.3052857,5.8175025
252622114,-3.333867,1.0921289,5.933661
252622123,-3.422483,0.3903882,6.316864
252622133,-3.3482373,-0.3939807,6.683302
252622143,-3.065625,-1.0142908,7.298822
252622153,-2.5483007,-1.4789245,7.4808435
252622163,-1.8262024,-1.6884887,7.540719
252622173,-1.6154407,-1.5220349,7.6221495
252622183,-1.7747095,-1.2765454,7.0868626
252622192,-2.046544,-0.7927515,6.5910935
252622202,-2.1171973,-0.40595582,6.301296
252622212,-2.0573218,-0.48738647,6.236631
